place_id,reviewTags,count
93,ticket,1
93,walls,1
94,0,7
94,area,1
94,trek,1
94,village,1
95,0,2
95,beautiful,1
95,december,1
95,forest,1
95,peaceful,1
95,season,1
95,snow,1
95,trek,1
95,walk,1
96,above sea level,1
96,binoculars,1
96,cafe,1
96,charge,1
96,fee,1
96,hot chocolate,1
96,range,1
96,roof,1
96,sandwich,1
96,snow,1
97,above sea level,1
97,bengal tiger,1
97,hill station,1
97,himalayan black bear,1
97,markhor,1
97,red panda,1
97,slopes,1
97,stamina,1
97,the hill,1
97,trek,1
98,amusement park,1
98,boating,1
98,bungee jumping,1
98,maggi,1
98,rain dance,1
98,ropeway,1
98,stream,1
98,swing,1
98,trolley,1
98,waterfall,1
99,bath,1
99,distance,1
99,fee,1
99,gate,1
99,jim corbett,1
99,jungle,1
99,safari,1
99,ticket,1
99,vehicle,1
99,waterfall,1
100,area,1
100,beautiful,1
100,fee,1
100,flowers,1
100,goddess,1
100,morning,1
100,mountains,1
100,peaceful,1
100,price,1
100,religious,1
101,adventure,1
101,asthma,1
101,bat,1
101,caves,1
101,claustrophobic,1
101,fat,1
101,flexibility,1
101,rocks,1
101,ticket,1
101,tiger,1
102,divine,1
102,feel,1
102,hill,1
102,juice,1
102,lord shiva,1
102,peaceful,1
102,snow,1
102,spiritual,1
102,stairs,1
102,zip line,1
103,0,10
104,beautiful,1
104,cook,1
104,crowd,1
104,family,1
104,garbage,1
104,off-roading,1
104,peaceful,1
104,picnic,1
104,river,1
104,summer,1
105,0,4
105,beautiful,1
105,experience,1
105,forest,1
105,garden,1
105,kids,1
105,trek,1
106,0,10
107,0,9
107,snow,1
108,chilled water,1
108,commercialization,1
108,dip,1
108,height,1
108,maggi,1
108,near the fall,1
108,rainbow,1
108,roaring,1
108,trek,1
108,waterfall,1
109,0,8
109,bird watching,1
109,trekking,1
110,2022,1
110,adventure,1
110,beautiful,1
110,experience,1
110,january,1
110,journey,1
110,night,1
110,peace,1
110,snow,1
110,trekking,1
111,adventures,1
111,beauty,1
111,campsite,1
111,experience,1
111,january,1
111,snow,1
111,summit,1
111,trail,1
111,trek,1
111,weather,1
112,crowd,1
112,peaceful,1
112,picnic,1
112,shivling,1
112,slopes,1
112,trek,1
112,vehicle,1
112,walk,1
112,water level,1
112,waterfall,1
113,binoculars,1
113,bumper cars,1
113,cable car,1
113,clouds,1
113,dinosaur,1
113,fog,1
113,march,1
113,range,1
113,ropeway,1
113,snowfall,1
114,0,10
115,artificial waterfall,1
115,average,1
115,beautiful,1
115,fee,1
115,height,1
115,juice,1
115,money,1
115,price,1
115,ticket,1
115,waste,1
116,0,10
117,adventure,1
117,beauty,1
117,environment,1
117,experience,1
117,fox,1
117,jungle,1
117,luck,1
117,november,1
117,tiger,1
117,wildlife sanctuary,1
118,alpine plant,1
118,asiatic black bear,1
118,blue sheep,1
118,brown bear,1
118,endemic,1
118,musk deer,1
118,red fox,1
118,snow leopard,1
118,trek,1
118,world network of biosphere reserves,1
119,0,10
120,0,3
120,adventure,1
120,beautiful,1
120,camping,1
120,experience,1
120,peaceful,1
120,range,1
120,trip,1
121,0,8
121,beautiful,1
121,river,1
122,0,2
122,april,1
122,historical,1
122,honour,1
122,life,1
122,peaceful,1
122,sacrifice,1
122,town,1
122,water,1
123,adventure,1
123,beauty,1
123,experience,1
123,guide,1
123,hike,1
123,risk,1
123,rocks,1
123,stream,1
123,trek,1
123,waterfalls,1
124,0,9
124,beautiful,1
125,beautiful,1
125,bike,1
125,bridge,1
125,experience,1
125,hike,1
125,snow,1
125,trek,1
125,trip,1
125,water fall,1
125,zip line,1
126,art work,1
126,beautiful,1
126,building,1
126,creativity,1
126,dream,1
126,hats,1
126,lord shiva,1
126,man,1
126,reality,1
126,stones,1
127,0,3
127,beautiful,1
127,experience,1
127,hill station,1
127,peaceful,1
127,people,1
127,trip,1
127,weather,1
128,0,10
129,0,10
130,bargain,1
130,bus,1
130,evening,1
130,local,1
130,market,1
130,restaurants,1
130,shawls,1
130,sweaters,1
130,winter wear,1
130,woolen,1
131,0,4
131,bus stand,1
131,clean,1
131,government,1
131,lighting,1
131,market,1
131,night,1
132,10th century,1
132,1825,1
132,antarala,1
132,architecture,1
